source,product_reviewed,review_title,review_text,rating,reviewer_name,review_date,verified_user,source_url,alert_id
mouthshut.com,Walmart,"Walmart are con artists, with a FAKE ONLINE STORE",,,bobbymihoc,2023-11-02 21:56:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,2BOoDTNhSfu_w9uTOevPUA
mouthshut.com,Walmart,Vickie Martinez,,,vickiemartinez429,2023-01-08 02:03:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,
mouthshut.com,Walmart,Orders Exchanged,,,Taradisechic,2019-08-06 17:51:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,
mouthshut.com,Walmart,Walmart - Shopping experience,,,Linda1993,2019-01-07 23:13:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,
mouthshut.com,Walmart,Walmart.com BIG missing feature,,,xumgoog,2017-12-08 04:37:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,z_7mX9yBTd6qqk_3NZ8AGg
mouthshut.com,Walmart,Great just fantastic,,,kidkaratedc,2017-12-05 03:36:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,
mouthshut.com,Walmart,It was ok i guess,,,christianrobinette,2017-05-22 11:22:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,
mouthshut.com,Walmart,Walmart.com,,,aakashsoni443,2017-03-20 17:10:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,
mouthshut.com,Walmart,Walmart is best in its category,,,vincesmaples,2017-02-14 15:12:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,
mouthshut.com,Walmart,Website is totally fraud!!!,,,Muzu18,2016-12-20 18:30:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,WcnVJkTsSjOuk7KUBQijIA
mouthshut.com,Walmart,Awesome. Nice suitable for the online shopping.,,,rayyanuddin7,2016-12-16 20:57:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,
mouthshut.com,Walmart,Better than going into Wal-Mart,,,zoobmafoo,2016-05-08 14:10:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,
mouthshut.com,Walmart,Walmart.com,,,kavitakoshyari,2016-04-04 18:02:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,
mouthshut.com,Walmart,So much under one roof !,,,ranjana86,2016-01-25 20:06:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,
mouthshut.com,Walmart,Walmart :,,,preeyanka08,2015-12-20 19:19:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,
mouthshut.com,Walmart,Incompetent emloyees,,,Jack_Sprat,2012-05-23 22:23:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,
mouthshut.com,Walmart,A great place to shop,,,zoheb167049,2010-05-18 17:29:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,
mouthshut.com,Walmart,Avoid,,,horses721,2008-12-30 19:41:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,
mouthshut.com,Walmart,Boycotting Walmart,,,teresebry,2008-05-31 03:50:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,
mouthshut.com,Walmart,Walmart Unlimited Dvd Rental Sucks,,,music_cd,2004-08-31 17:31:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176,
mouthshut.com,Walmart,"Walmart are con artists, with a FAKE ONLINE STORE",,,bobbymihoc,2023-11-02 21:56:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,J57TZ4L2SVivRlNpuannIw
mouthshut.com,Walmart,Vickie Martinez,,,vickiemartinez429,2023-01-08 02:03:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,
mouthshut.com,Walmart,Orders Exchanged,,,Taradisechic,2019-08-06 17:51:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,
mouthshut.com,Walmart,Walmart - Shopping experience,,,Linda1993,2019-01-07 23:13:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,
mouthshut.com,Walmart,Walmart.com BIG missing feature,,,xumgoog,2017-12-08 04:37:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,D5Yq7nMkT4C7zl7Wgh4Spg
mouthshut.com,Walmart,Great just fantastic,,,kidkaratedc,2017-12-05 03:36:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,
mouthshut.com,Walmart,It was ok i guess,,,christianrobinette,2017-05-22 11:22:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,
mouthshut.com,Walmart,Walmart.com,,,aakashsoni443,2017-03-20 17:10:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,
mouthshut.com,Walmart,Walmart is best in its category,,,vincesmaples,2017-02-14 15:12:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,
mouthshut.com,Walmart,Website is totally fraud!!!,,,Muzu18,2016-12-20 18:30:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,xwgkQuvYSTaidSUxFR-VWA
mouthshut.com,Walmart,Awesome. Nice suitable for the online shopping.,,,rayyanuddin7,2016-12-16 20:57:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,
mouthshut.com,Walmart,Better than going into Wal-Mart,,,zoobmafoo,2016-05-08 14:10:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,
mouthshut.com,Walmart,Walmart.com,,,kavitakoshyari,2016-04-04 18:02:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,
mouthshut.com,Walmart,So much under one roof !,,,ranjana86,2016-01-25 20:06:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,
mouthshut.com,Walmart,Walmart :,,,preeyanka08,2015-12-20 19:19:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,
mouthshut.com,Walmart,Incompetent emloyees,,,Jack_Sprat,2012-05-23 22:23:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,
mouthshut.com,Walmart,A great place to shop,,,zoheb167049,2010-05-18 17:29:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,
mouthshut.com,Walmart,Avoid,,,horses721,2008-12-30 19:41:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,
mouthshut.com,Walmart,Boycotting Walmart,,,teresebry,2008-05-31 03:50:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,
mouthshut.com,Walmart,Walmart Unlimited Dvd Rental Sucks,,,music_cd,2004-08-31 17:31:00,False,https://www.mouthshut.com/product-reviews/walmart-reviews-925038176/page/2,
